name of company,college name,region,year,Salary
RAJA SOFTWARE LABS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,434536
IBM,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,367378
CMS IT SERVICES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,439440
TECH MAHINDRA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,475125
SABA SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,710787
IDBI INTECH,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,544975
ACCENTURE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,302541
MORGAN STANLEY,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,499991
INDUS VALLEY PARTNERS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,30635
GENPACT,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2015,619943
WIPRO,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,489433
CYBAGE SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,615389
NUCSOFT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,232256
ACCENTURE,COLLEGE OF ENGINEERING PUNE,PUNE,2016,291837
MINDTREE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,17222
XORIANT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,643844
HEXAWARE TECHNOLOGIES,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,758341
ECLINICALWORKS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,343078
ZENITH SYSTEM SOLUTIONS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,575413
NUCSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,226194
JOHNSON CONTROLS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,1005702
TATA CONSULTANCY SERVICES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,358549
MIRRAW,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,30424
AMDOCS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2014,664255
BANK OF AMERICA,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,782869
ORACLE,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,740889
ACCENTURE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,293856
QUANTIPHI,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,31045
GEOMETRIC SOFTWARE SOLUTIONS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,343678
TCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,363745
TATA CONSULTANCY SERVICES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,751570
MU SIGMA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,343877
MILES SOFTWARE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,346240
NUCSOFT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,30366
MEDIA.NET,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,574906
VPHRASE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,407806
ZENSAR TECHNOLOGIES,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,1114263
BHARAT PETROLEUM,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,375328
HURIX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,878496
CYBAGE SOFTWARE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,599854
NEWGEN SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,435238
NUCSOFT,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,29215
IBM,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,372764
IBM INDIA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,555949
ARK TECHNOSOLUTIONS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,1137724
AMAZON,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,435412
YAHOO,MIT COLLEGE OF ENGINEERING,PUNE,2017,370907
DIRECTI,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,1681980
INFOGAIN,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,226267
MAJESCO,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,489600
SIEMENS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,474489
MAJESCO,MIT COLLEGE OF ENGINEERING,PUNE,2016,431836
BHARAT PETROLEUM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,378429
SIEMENS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,495501
JOHNSON CONTROLS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,990552
LTI,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,1258932
ENDURANCE INTERNATIONAL GROUP,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,769368
INDUS VALLEY PARTNERS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,779919
VERIZON,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,568475
NEWGEN SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,708060
UGAM,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,546791
SABA SOFTWARE,COLLEGE OF ENGINEERING PUNE,PUNE,2016,718821
ECLINICALWORKS,MIT COLLEGE OF ENGINEERING,PUNE,2017,348355
INFOSYS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,631562
ACCENTURE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,664502
VPHRASE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,407091
INDUS VALLEY PARTNERS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,29626
GEP,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,772221
ECLERX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,44053
CMS IT SERVICES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,448041
ORACLE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,485375
CREDIT SUISSE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,957887
RAJA SOFTWARE LABS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,434139
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,470498
IGATE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,29322
SIEMENS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,495501
GENPACT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,636054
ORACLE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,733404
OSP LABS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,861754
WNS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,458379
MAJESCO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,473702
NUCSOFT,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,29510
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,1764982
INFOSYS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,477731
MAJESCO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,490311
TATA CONSULTANCY SERVICES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,358287
CLOVER INFOTECH,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,17264
RUBIQUE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,1001186
SYNTROSYS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,930061
CIMPRESS,COLLEGE OF ENGINEERING PUNE,PUNE,2015,841868
NSEIT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,58812
MILES SOFTWARE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,348337
MASTEK,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,305612
TATA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,95866
TIBCO SOFTWARE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,573291
MAQ SOFTWARE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1658606
SAP,COLLEGE OF ENGINEERING PUNE,PUNE,2018,58812
MASTEK,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,38502
NUCSOFT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,29854
ATIDAN,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,815946
INFOSYS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2014,477310
CYBAGE SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,602154
MAJESCO,COLLEGE OF ENGINEERING PUNE,PUNE,2014,489414
ENDURANCE INTERNATIONAL GROUP,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,771234
MICROSOFT,MIT COLLEGE OF ENGINEERING,PUNE,2017,420747
DELOITTE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,725274
CAPGEMINI,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,385519
INDUS VALLEY PARTNERS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,29476
MAQ SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,1656475
MASTEK,MIT COLLEGE OF ENGINEERING,PUNE,2017,304186
ECLERX,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,44280
SCHNEIDER ELECTRIC,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,456184
INFORMATICA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,376497
PROTEGRITY,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,1176245
QUALITYKIOSK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,26751
LARSEN & TOUBRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,1731931
QUINNOX,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,447934
ATIDAN,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,840254
LARSEN & TOUBRO,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,1712854
TIBCO SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,1260431
INFOSYS,MIT COLLEGE OF ENGINEERING,PUNE,2016,479772
GOOGLE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,53950
AMDOCS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,692333
UGAM,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,535465
TECH MAHINDRA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,485992
NEWGEN SOFTWARE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,438254
ZYCUS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,17410
ATIDAN,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,939068
GEP,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,735331
INFIBEAM,MIT COLLEGE OF ENGINEERING,PUNE,2015,180514
GE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,706273
RAJA SOFTWARE LABS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,435036
DIRECTI,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,1666324
XORIANT,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,434944
ACCENTURE,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,665752
WIPRO,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,487613
CMS IT SERVICES,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,440004
WIPRO,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,495010
SIEMENS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,494741
ADOBE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,112074
SABA SOFTWARE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,709027
BHARAT PETROLEUM,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,372145
SCHNEIDER ELECTRIC,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,443019
NUCSOFT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,231689
MPHASIS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,710194
ACCENTURE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,301377
INGRAM MICRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,362777
ENDURANCE INTERNATIONAL GROUP,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,763283
MASTEK,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,298015
MICROSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,1182513
UBS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2016,376823
MASTEK,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,314273
IGATE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,31388
TCS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,363745
CIMPRESS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1398773
MORGAN STANLEY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1764982
SIEMENS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,508594
WIPRO,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,482653
NUCSOFT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,225812
INFOSYS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,629116
ECLERX,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,45612
NVIDIA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,22733
ACCENTURE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2014,659475
GODREJ INFOTECH,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,385713
TECH MAHINDRA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,29854
ATIDAN,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,929346
CIMPRESS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2017,1346443
ACCENTURE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,306588
BNP PARIBAS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,37855
LIONBRIDGE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,43470
JOHNSON CONTROLS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,807428
ACCENTURE,COLLEGE OF ENGINEERING PUNE,PUNE,2014,659973
GE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,523851
MPHASIS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,490568
AMAZON,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,442378
TATA,COLLEGE OF ENGINEERING PUNE,PUNE,2015,98232
WEATHERFORD,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,508278
GODREJ INFOTECH,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,379239
QUALITYKIOSK,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,31408
INFOGAIN,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,227529
INFIBEAM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,178217
JIO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,736752
WISDMLABS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,471874
IBM INDIA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,578184
CLOVER INFOTECH,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,384780
IBM,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,450904
BOOKMYSHOW,MIT COLLEGE OF ENGINEERING,PUNE,2017,368699
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,457827
WIPRO,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,482653
MIRRAW,MIT COLLEGE OF ENGINEERING,PUNE,2018,30914
WIPRO,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,491570
AMAZON,MIT COLLEGE OF ENGINEERING,PUNE,2015,20096
ZYCUS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,41164
QUINNOX,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2015,446973
IDBI INTECH,COLLEGE OF ENGINEERING PUNE,PUNE,2016,547140
INDUS VALLEY PARTNERS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,29996
XORIANT,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,665911
ZENSAR TECHNOLOGIES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,1090975
RAJA SOFTWARE LABS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,444669
CYBAGE SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2017,582393
CAPGEMINI,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2015,396690
MAQ SOFTWARE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,760901
MAQ SOFTWARE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,1676469
ECLINICALWORKS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2018,597715
GODREJ INFOTECH,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,379558
ECLINICALWORKS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,588300
TATA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,95774
GEP,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,717852
MORGAN STANLEY,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,502198
LIONBRIDGE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,44037
HURIX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,919076
WIPRO,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,488346
MASTEK,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,39877
IGATE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,30151
SCHNEIDER ELECTRIC,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,443321
JOHNSON CONTROLS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,805706
CLOVER INFOTECH,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,17444
CLOVER INFOTECH,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,17845
IDBI INTECH,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,543063
AXIS BANK,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,591615
UGAM,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,519811
IGATE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,30808
BNP PARIBAS,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,54411
XORIANT,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,657673
ADOBE,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,108493
UGAM,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,785762
VERIZON,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,554151
ECLINICALWORKS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,580577
IDBI INTECH,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,384639
QUINNOX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,785954
CYBAGE SOFTWARE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2016,597715
BANK OF AMERICA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,817719
XL DYNAMICS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,379569
VISA INC.,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2014,1192310
RAJA SOFTWARE LABS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,438722
BOOKMYSHOW,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,356925
QUINNOX,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,782633
NEWGEN SOFTWARE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,432069
NEOSOFT,COLLEGE OF ENGINEERING PUNE,PUNE,2018,503728
CREDIT SUISSE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,982573
CMS IT SERVICES,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2014,430717
SAP,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,821437
CROMPTON GREAVES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,256318
MU SIGMA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,343810
VISA INC.,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,1144604
UBS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,1786068
XORIANT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,641215
TCS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,362830
INDUS VALLEY PARTNERS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,796752
ACCENTURE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,299512
CAPITA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,589966
HEXAWARE TECHNOLOGIES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,30126
MPHASIS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,495462
BOOKMYSHOW,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,363305
KPIT TECHNOLOGIES,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,798619
XORIANT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,641329
MICROSOFT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,408523
CMC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,437375
BNP PARIBAS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,52712
INFOSYS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,470498
NVIDIA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,22327
CALSOFT,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,16864
ACCENTURE,COLLEGE OF ENGINEERING PUNE,PUNE,2018,299512
MPHASIS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,469899
CMS IT SERVICES,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,450187
NUCSOFT,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2016,231050
NVIDIA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,247242
SYMANTEC,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2016,1765373
QUINNOX,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,439339
INFOSYS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,632196
TCS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,358253
MORGAN STANLEY,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2017,524229
